Number_of_P&Ds;channel;coin;exchange;pair;timestamp;announced_growth
1;💎🚀 Hit Pump Angels 🚀💎;PIVX;binance;BTC;2021-03-28 17:00;295,36%
2;💎🚀 Hit Pump Angels 🚀💎;PPT;binance;BTC;2021-03-07 17:00;457,85%
3;💎🚀 Hit Pump Angels 🚀💎;MTH;binance;BTC;2021-03-01 17:00;51,11%
4;💎🚀 Hit Pump Angels 🚀💎;BRD;binance;BTC;2021-02-24 17:00;86,36%
5;💎🚀 Hit Pump Angels 🚀💎;RDN;binance;BTC;2021-02-22 17:00;82,46%
6;💎🚀 Hit Pump Angels 🚀💎;NXS;binance;BTC;2021-02-21 17:00;399,75%
7;💎🚀 Hit Pump Angels 🚀💎;PNT;binance;BTC;2021-01-31 21:00;1255,45%
8;💎🚀 Hit Pump Angels 🚀💎;EVX;binance;BTC;2021-01-09 21:00;350,80%
9;💎🚀 Hit Pump Angels 🚀💎;CTXC;binance;BTC;2021-01-07 15:59;100,46%
10;💎🚀 Hit Pump Angels 🚀💎;MDA;binance;BTC;2021-01-03 17:00;56,64%
11;💎🚀 Hit Pump Angels 🚀💎;NEBL;binance;BTC;2021-04-02 21:00;1256,58%
12;💎🚀 Hit Pump Angels 🚀💎;NXS;binance;BTC;2021-03-03 16:00;44,42%
13;💎🚀 Hit Pump Angels 🚀💎;DLT;binance;BTC;2020-12-26 21:00;602,66%
14;💎🚀 Hit Pump Angels 🚀💎;MTH;binance;BTC;2021-06-06 17:00;30,00%
15;💎🚀 Hit Pump Angels 🚀💎;RCN;binance;BTC;2021-01-07 21:00;197,54%
16;💎🚀 Hit Pump Angels 🚀💎;NAS;binance;BTC;2020-05-30 16:00;93,90%
17;💎🚀 Hit Pump Angels 🚀💎;VIA;binance;BTC;2020-05-29 15:59;214%
18;💎🚀 Hit Pump Angels 🚀💎;ONG;binance;BTC;2020-05-26 16:00;111,34%
19;💎🚀 Hit Pump Angels 🚀💎;ARN;binance;BTC;2020-04-07 18:00;29,52%
20;💎🚀 Hit Pump Angels 🚀💎;GRS;binance;BTC;2020-04-02 16:00;48,08%
21;💎🚀 Hit Pump Angels 🚀💎;EDO;binance;BTC;2020-03-26 15:59;49,02%
22;💎🚀 Hit Pump Angels 🚀💎;POA;binance;BTC;2020-03-12 19:00;56,25%
23;💎🚀 Hit Pump Angels 🚀💎;NXS;binance;BTC;2020-03-03 16:00;44,42%
24;💎🚀 Hit Pump Angels 🚀💎;RDN;binance;BTC;2020-02-01 13:00;30,56%
25;💎🚀 Hit Pump Angels 🚀💎;NULS;binance;BTC;2020-01-30 17:00;9,32%
26;💎🚀 Hit Pump Angels 🚀💎;SKY;binance;BTC;2021-02-03 21:00;2482,15%
27;💎🚀 Hit Pump Angels 🚀💎;FIO;binance;BTC;2021-02-04 17:00;62,10%
28;💎🚀 Hit Pump Angels 🚀💎;CTXC;binance;BTC;2021-03-18 17:00;54,75%
29;💎🚀 Hit Pump Angels 🚀💎;IDEX;binance;BTC;2020-12-31 17:00;132,75%
30;💎🚀 Hit Pump Angels 🚀💎;RCN;binance;BTC;2021-01-10 17:00;39,20%
31;💎🚀 Hit Pump Angels 🚀💎;ONG;binance;BTC;2021-01-11 16:00;52,60%
32;💎🚀 Hit Pump Angels 🚀💎;IDEX;binance;BTC;2021-01-17 17:00;30,43%
33;💎🚀 Hit Pump Angels 🚀💎;GVT;binance;BTC;2021-01-23 21:00;123,49%
34;💎🚀 Hit Pump Angels 🚀💎;VIB;binance;BTC;2021-02-05 21:00;561,53%
35;💎🚀 Hit Pump Angels 🚀💎;NEBL;binance;BTC;2021-02-13 21:00;128,78%
36;💎🚀 Hit Pump Angels 🚀💎;GVT;binance;BTC;2021-02-20 17:00;82,22%
37;💎🚀 Hit Pump Angels 🚀💎;ONG;binance;BTC;2021-04-12 17:00;16,60%
38;💎🚀 Hit Pump Angels 🚀💎;VIB;binance;BTC;2021-09-05 17:00;104,28%
39;💎🚀 Hit Pump Angels 🚀💎;OAX;binance;BTC;2020-10-18 18:00;43,87%
40;💎🚀 Hit Pump Angels 🚀💎;QSP;binance;BTC;2020-09-10 18:00;44,02%
41;💎🚀 Hit Pump Angels 🚀💎;QLC;binance;BTC;2020-09-06 16:00;60,25%
42;Binance Crypto Pumps;PHB;binance;BTC;2021-11-28 17:00;67%
43;Binance Crypto Pumps;APPC;binance;BTC;2021-12-19 15:00;45%
44;Binance Crypto Pumps;NEBL;binance;BTC;2022-01-02 17:01;70%
45;Binance Crypto Pumps;SNM;binance;BTC;2021-11-20 17:01;57,14%
46;Binance Crypto Pumps;NEBL;binance;BTC;2020-11-02 18:00;34,58%
47;Binance Crypto Pumps;PPT;binance;BTC;2020-06-08 16:06;54,05%
48;Binance Crypto Pumps;VIA;binance;BTC;2021-04-11 17:00;159,48%
49;Binance Crypto Pumps;DLT;binance;BTC;2021-05-16 17:00;25%
50;Binance Crypto Pumps;OAX;binance;BTC;2021-05-30 17:00;82,64%
51;Binance Crypto Pumps;WABI;binance;BTC;2021-06-20 17:00;108%
52;Binance Crypto Pumps;MTH;binance;BTC;2021-07-27 17:00;33,42%
53;Binance Crypto Pumps;NAS;binance;BTC;2021-08-22 17:00;157,68%
54;Binance Crypto Pumps;BRD;binance;BTC;2021-08-29 17:00;50%
55;Binance Crypto Pumps;FXS;binance;BTC;2021-09-19 17:00;100%
56;Binance Crypto Pumps;GVT;binance;BTC;2020-04-15 15:57;33%
57;Binance Crypto Pumps;BNT;binance;BTC;2020-04-24 15:59;17,79%
58;Binance Crypto Pumps;APPC;binance;BTC;2020-11-18 18:00;24,19%
59;Binance Crypto Pumps;MDA;binance;BTC;2020-11-27 21:00;21,67%
60;Binance Crypto Pumps;NAS;binance;BTC;2021-01-14 21:00;170,34%
61;Binance Crypto Pumps;DLT;binance;BTC;2021-01-28 19:00;30,40%
62;Binance Crypto Pumps;IDEX;binance;BTC;2021-04-25 17:00;40%
63;Binance Crypto Pumps;STEEM;binance;BTC;2021-01-18 17:00;16%
64;Binance Crypto Pumps;WPR;binance;BTC;2021-05-09 17:00;35%
65;Binance Crypto Pumps;FIO;binance;BTC;2021-06-13 17:01;36,13%
66;Big Pumps Binance;NEBL;binance;BTC;2021-08-24 15:00;93%
67;Big Pumps Binance;ATM;binance;BTC;2021-09-10 16:00;300%
68;Big Pumps Binance;PIVX;binance;BTC;2021-09-18 15:00;100%
69;Big Pumps Binance;WABI;binance;BTC;2021-10-14 15:00;85%
70;Big Pumps Binance;BRD;binance;BTC;2021-10-31 15:00;69%
71;Big Pumps Binance;NAS;binance;BTC;2021-11-14 15:00;75%
72;Big Pumps Binance;MDA;binance;BTC;2021-11-23 15:00;57%
73;Big Pumps Binance;SNM;binance;BTC;2022-01-27 15:02;17%
74;Big Pumps Binance;NAS;binance;BTC;2022-02-01 15:00;30%
75;Binance Crypto Pump Signals🚨🚨🚨;EVX;binance;BTC;2021-10-24 17:00;83,68%
76;[Official]Binance Pump 247 [Annoucement];DREP;binance;USDT;2021-07-25 17:00;52,50%